"","STRATA","STRATA_AREA","PLOT","PLOT_AREA","DBH","TH","OBS","DH","TH_EST","CSA","AGE","VWB","VWOB"
"1",2,45,1,810,15,23.8,"N",25.04,23.8,0.0176714586764426,66.1,0.202648747090428,0.17753335443158
"2",2,45,1,810,13,23.8,"N",25.04,23.8,0.0132732289614169,66.1,0.153872755462911,0.133827633887948
"3",2,45,1,810,15,24.7,"N",25.04,24.7,0.0176714586764426,66.1,0.209346468501639,0.183159349926124
"4",2,45,1,810,13.5,23.3,"N",25.04,23.3,0.0143138815279185,66.1,0.162413250458142,0.141632960644013
"5",2,45,1,810,15,24.3,"N",25.04,24.3,0.0176714586764426,66.1,0.206373504932399,0.180663015571344
"6",2,45,1,810,14,22.4,"N",25.04,22.4,0.01539380400259,66.1,0.168277059314983,0.147223284462962
"7",2,45,1,810,16,23.9,"N",25.04,23.9,0.0201061929829747,66.1,0.230287698860551,0.202378156008538
"8",2,45,1,810,15,24.2,"N",25.04,24.2,0.0176714586764426,66.1,0.205629319542492,0.180037911513796
"9",2,45,1,810,13.5,22.6,"N",25.04,22.6,0.0143138815279185,66.1,0.158130691990893,0.138047834011277
"10",2,45,1,810,15,24.1,"N",25.04,24.1,0.0176714586764426,66.1,0.204884752850001,0.179412395363295
"11",2,45,1,810,15,25.4,"N",25.04,25.4,0.0176714586764426,66.1,0.214534871807269,0.187512512101823
"12",2,45,1,810,14.5,24.3,"N",25.04,24.3,0.0165129963854313,66.1,0.193341068774409,0.16896342632037
"13",2,45,1,810,16,24.9,"D",25.04,24.9,0.0201061929829747,66.1,0.238707172701198,0.209472037268782
"14",2,45,1,810,14,23.8,"N",25.04,23.8,0.01539380400259,66.1,0.177455736634159,0.15491962206473
"15",2,45,1,810,16,24.3,"D",25.04,24.3,0.0201061929829747,66.1,0.233660629634345,0.205221281787922
"16",2,45,1,810,10,17.6,"N",25.04,17.6,0.00785398163397448,66.1,0.0713017014468843,0.0618529579916305
"17",2,45,1,810,15,24.8,"N",25.04,24.8,0.0176714586764426,66.1,0.210088773522986,0.18378242265965
"18",2,45,1,810,15,NA,"N",25.04,24.6087924076848,0.0176714586764426,66.1,0.208669105074886,0.182590709419849
"19",2,45,1,810,16,25.3,"D",25.04,25.3,0.0201061929829747,66.1,0.242063146812739,0.212296787579352
"20",2,45,1,810,12,NA,"N",25.04,22.7161794758703,0.0113097335529233,66.1,0.126631457631815,0.109870631671382
"21",2,45,1,810,15,NA,"N",25.04,24.6087924076848,0.0176714586764426,66.1,0.208669105074886,0.182590709419849
"22",2,45,1,810,15,NA,"N",25.04,24.6087924076848,0.0176714586764426,66.1,0.208669105074886,0.182590709419849
"23",2,45,1,810,13,NA,"N",25.04,23.4262408141127,0.0132732289614169,66.1,0.151753788339876,0.132058933892745
"24",2,45,1,810,13,NA,"N",25.04,23.4262408141127,0.0132732289614169,66.1,0.151753788339876,0.132058933892745
